Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2024-03-01,0,-2539,-4038,-4826,-4531,-3556,-2080,-1281,-3015,-6756,-8580,-10839,-13395,-12036,-10450,-7940,-4085,361,4033,4996,4080,2591,2160,1956
2024-03-02,0,-2357,-3840,-4714,-4526,-3696,-2266,-1697,-4179,-7685,-9551,-11404,-12845,-12397,-11429,-9370,-6151,-2018,1153,1787,870,-376,-304,-371
2024-03-03,0,-2492,-4255,-5128,-4926,-4180,-3354,-3118,-4605,-6631,-7850,-8996,-9416,-8659,-8344,-7256,-4604,-919,2452,3376,2728,1711,1184,731
2024-03-04,0,-2303,-3411,-3697,-2872,-576,4276,11369,17543,17334,13799,8836,5308,8578,11127,13675,15195,15120,15677,14613,12040,9655,8943,7795
2024-03-05,0,-2244,-3558,-3936,-3392,-1526,2348,8333,15482,18437,18904,17214,14131,16519,16759,16063,15714,14238,13771,12253,9393,7060,6239,5240
2024-03-06,0,-2348,-3566,-4092,-3528,-1831,2064,7307,11524,10626,8252,5199,1909,5359,7243,7772,9175,9717,10789,10291,8022,5847,4894,3940
2024-03-07,0,-2393,-3807,-4325,-3458,-1682,2054,7638,12812,13454,12138,8976,4849,5864,6506,7309,9254,10691,12430,11898,9269,6979,6468,5651
2024-03-08,0,-2721,-4047,-4764,-4295,-2637,1054,6025,8694,6966,3820,-299,-4386,-2510,-1457,523,4056,6888,8739,8447,6328,4366,3822,3209
2024-03-09,0,-2561,-4070,-4871,-4696,-3789,-2356,-2327,-5120,-7998,-10220,-12893,-15259,-14880,-14022,-12570,-9109,-4810,-951,226,-497,-1290,-1064,-1239
2024-03-10,0,-2433,-3886,-4434,-4296,-3500,-2591,-3329,-7184,-10830,-12411,-14456,-16027,-16107,-15282,-13130,-8631,-3051,1208,2893,2355,1702,1229,452
2024-03-11,0,-2358,-3474,-3699,-2922,-444,4159,10007,15360,16822,16477,15083,13109,16406,16625,16180,15954,15552,16295,15466,12821,10599,10096,9260
2024-03-12,0,-2447,-3707,-4275,-3627,-1738,1836,7056,12712,14686,13932,11331,8594,10677,10829,10542,11283,11043,11691,10718,8278,5981,5343,4621
2024-03-13,0,-2286,-3542,-4003,-3326,-1385,2407,6906,9594,7350,3230,-907,-5393,-3612,-2374,-475,3197,5540,8095,8305,6329,4470,3962,3480
2024-03-14,0,-2319,-3637,-4083,-3492,-1646,2160,6261,9201,7350,3871,-590,-5300,-3786,-2656,-938,2600,5339,7930,8437,6741,4454,3792,2698
2024-03-15,0,-2372,-3529,-3983,-3346,-1512,2107,5854,7714,5450,1700,-2379,-6339,-4415,-3174,-1740,1647,4055,6366,6817,5401,3774,3240,2482
2024-03-16,0,-2403,-3760,-4566,-4363,-3235,-1861,-2129,-4661,-7184,-9946,-12683,-14954,-13614,-11162,-7847,-5062,-2867,-447,391,-394,-1399,-1465,-2218
2024-03-17,0,-2300,-3628,-4274,-4060,-3107,-2142,-2000,-2764,-4463,-6828,-9409,-11112,-11485,-10444,-7400,-3784,201,4145,5653,5218,4352,3705,2966
2024-03-18,0,-2351,-3214,-3414,-2368,165,4695,9631,12662,11482,8465,4337,243,2243,3819,6231,10525,13533,15257,15237,13068,11057,10346,8740
2024-03-19,0,-2233,-3530,-3982,-3347,-1435,1991,7075,12187,11311,8880,7490,5104,7748,7595,6245,8172,9697,11472,11372,9153,7170,6524,5563
2024-03-20,0,-2439,-3640,-4019,-3327,-1595,2183,6163,8754,7337,4598,1522,-1931,-167,595,1998,4722,7354,9435,9597,7806,5949,5350,4304
2024-03-21,0,-2382,-3610,-4001,-3426,-1496,2092,5513,7086,5632,2706,-1301,-5688,-3435,-2191,-455,2427,5586,8451,9065,7003,4825,4091,2800
2024-03-22,0,-2508,-3834,-4415,-3815,-2074,1278,4906,7016,5706,2454,-459,-3003,763,4101,7185,8342,7945,7667,7073,5106,3239,2979,2054
2024-03-23,0,-2572,-4152,-4700,-4555,-3712,-2640,-2711,-3902,-6650,-9803,-12413,-14690,-13829,-12463,-10054,-6996,-3971,-892,609,-22,-826,-804,-1536
2024-03-24,0,-2464,-3791,-4452,-4347,-3364,-2582,-2855,-3506,-4041,-4398,-4146,-4979,-5434,-5590,-4337,-2184,713,3266,4660,4024,3115,2444,1472
2024-03-25,0,-2160,-3232,-3350,-2475,-245,3451,9186,15141,16918,17557,17742,16448,18539,19248,19318,19584,18832,18439,17488,14757,12659,11878,10727
2024-03-26,0,-2223,-3371,-3712,-3112,-1262,2182,7923,13393,13891,12760,8982,4519,5596,6176,7061,8416,8992,10536,10718,8567,6709,6147,5024
