Date,Open
2022-05-18,4051.98
2022-05-19,3899.00
2022-05-20,3927.76
2022-05-23,3919.42
2022-05-24,3942.94
2022-05-25,3929.59
2022-05-26,3984.60
2022-05-27,4077.43
2022-05-31,4151.09
2022-06-01,4149.78
2022-06-02,4095.41
2022-06-03,4137.57
2022-06-06,4134.72
2022-06-07,4096.47
2022-06-08,4147.12
2022-06-09,4101.65
2022-06-10,3974.39
2022-06-13,3838.15
2022-06-14,3763.52
2022-06-15,3764.05
2022-06-16,3728.18
2022-06-17,3665.90
2022-06-21,3715.31
2022-06-22,3733.89
2022-06-23,3774.71
2022-06-24,3821.75
2022-06-27,3920.76
2022-06-28,3913.00
2022-06-29,3825.09
2022-06-30,3785.99
2022-07-01,3781.00
2022-07-05,3792.61
2022-07-06,3831.98
2022-07-07,3858.85
2022-07-08,3888.26
2022-07-11,3880.94
2022-07-12,3851.95
2022-07-13,3779.67
2022-07-14,3763.99
2022-07-15,3818.00
2022-07-18,3883.79
2022-07-19,3860.73
2022-07-20,3935.32
2022-07-21,3955.47
2022-07-22,3998.43
2022-07-25,3965.72
2022-07-26,3953.22
2022-07-27,3951.43
2022-07-28,4026.13
2022-07-29,4087.33
2022-08-01,4112.38
2022-08-02,4104.21
2022-08-03,4107.96
2022-08-04,4154.85
2022-08-05,4115.87
2022-08-08,4155.93
2022-08-09,4133.11
2022-08-10,4181.02
2022-08-11,4227.40
2022-08-12,4225.02
2022-08-15,4269.37
2022-08-16,4290.46
2022-08-17,4280.40
2022-08-18,4273.13
2022-08-19,4266.31
2022-08-22,4195.08
2022-08-23,4133.09
2022-08-24,4126.55
2022-08-25,4153.26
2022-08-26,4198.74
2022-08-29,4034.58
2022-08-30,4041.25
2022-08-31,4000.67
2022-09-01,3936.73
2022-09-02,3994.66
2022-09-06,3930.89
2022-09-07,3909.43
2022-09-08,3959.94
2022-09-09,4022.94
2022-09-12,4083.67
2022-09-13,4037.12
2022-09-14,3940.73
2022-09-15,3932.41
2022-09-16,3880.95
2022-09-19,3849.91
2022-09-20,3875.23
2022-09-21,3871.40
2022-09-22,3782.36
2022-09-23,3727.14
2022-09-26,3682.72
2022-09-27,3686.44
2022-09-28,3651.94
2022-09-29,3687.01
2022-09-30,3633.48
2022-10-03,3609.78
2022-10-04,3726.46
2022-10-05,3753.25
2022-10-06,3771.97
2022-10-07,3706.74
2022-10-10,3647.51
2022-10-11,3595.86
2022-10-12,3590.83
2022-10-13,3520.37
2022-10-14,3690.41
2022-10-17,3638.65
2022-10-18,3746.26
2022-10-19,3703.11
2022-10-20,3689.05
2022-10-21,3657.10
2022-10-24,3762.01
2022-10-25,3799.44
2022-10-26,3825.97
2022-10-27,3834.69
2022-10-28,3808.26
2022-10-31,3881.85
2022-11-01,3901.79
2022-11-02,3852.90
2022-11-03,3733.25
2022-11-04,3766.98
2022-11-07,3780.71
2022-11-08,3817.02
2022-11-09,3810.94
2022-11-10,3859.89
2022-11-11,3963.72
2022-11-14,3977.97
2022-11-15,4006.41
2022-11-16,3976.82
2022-11-17,3919.26
2022-11-18,3966.39
2022-11-21,3956.23
2022-11-22,3965.51
2022-11-23,4000.30
2022-11-25,4023.34
2022-11-28,4005.36
2022-11-29,3964.19
2022-11-30,3957.18
2022-12-01,4087.14
2022-12-02,4040.17
2022-12-05,4052.02
2022-12-06,3996.63
2022-12-07,3933.28
2022-12-08,3947.79
2022-12-09,3954.17
2022-12-12,3939.29
2022-12-13,4069.38
